Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Ampacity,Baud_Rate,Configuration,Data_Length,Dielectric,Digi-Key PN,Flow_Control,Parity,Stop_Bits,Tolerance,Voltage,Wattage,display_footprint
43,1,J2403,DAC SPI,Connector_Generic:Conn_01x03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,~,,,,,,,,,,,,,
44,1,L401,3.3uH,Custom_Library:L_Custom,Inductors_SMD:L_Vishay_IHLP-1212,,2.7A,,,,,541-2567-1-ND,,,,20%,,,IHLP1212
45,1,L601,10uH,Custom_Library:L_Custom,Inductors_SMD:L_Vishay_IHLP-2525,,3A,,,,,541-1013-1-ND,,,,20%,,,IHLP2525
46,11,"L801, L802, L901, L902, L1101, L1102, L1301, L1302, L1801, L1901, L2001",600R 0.5A,Device:Ferrite_Bead,Inductors_SMD:L_0603,~,,,,,,732-1593-1-ND,,,,,,,
47,3,"MES1801, MES1901, MES2001",Voltmeter_DC,Device:Voltmeter_DC,Custom Footprints Library:SO-45_Panel_Meter,~,,,,,,,,,,,,,
48,28,"MK1801, MK1802, MK1805, MK1806, MK1807, MK1808, MK1811, MK1812, MK1901, MK1902, MK1905, MK1906, MK1907, MK1908, MK1911, MK1912, MK2001, MK2002, MK2005, MK2006, MK2007, MK2008, MK2011, MK2012, MK2501, MK2502, MK2507, MK2508",#4-40 Screw,Custom_Library:Screw,,,,,,,,36-9900-ND,,,,,,,
49,16,"MK1803, MK1804, MK1809, MK1810, MK1903, MK1904, MK1909, MK1910, MK2003, MK2004, MK2009, MK2010, MK2503, MK2504, MK2505, MK2506",#4-40 Standoff,Custom_Library:Standoff,,,,,,,,1772-1052-ND,,,,,,,
50,1,N201,+12V 1A Power Supply,Mechanical:Housing,,~,,,,,,993-1335-ND,,,,,,,
51,3,"Q401, Q801, Q1601",BSS214NW,Transistor_FET:BSS214NW,Package_TO_SOT_SMD:SOT-323_SC-70,https://www.infineon.com/dgdl/Infineon-BSS214NW-DS-v02_02-en.pdf?fileId=db3a30431b3e89eb011b695aebc01bde,,,,,,BSS214NWH6327XTSA1CT-ND,,,,,,,
52,1,Q402,ZXMS6004FFTA,Custom_Library:ZXMS6004FFTA,Package_TO_SOT_SMD:SOT-23,https://www.diodes.com/assets/Datasheets/ZXMS6004FF.pdf,,,,,,ZXMS6004FFCT-ND,,,,,,,
53,1,Q601,FDC5612,Custom_Library:FDC5612,TO_SOT_Packages_SMD:SOT-23-6,https://www.onsemi.com/pub/Collateral/FDC5612-D.PDF,,,,,,FDC5612CT-ND,,,,,,,
54,1,Q2401,BSS214NW,Transistor_FET:BSS214NW,TO_SOT_Packages_SMD:SOT-323_SC-70,https://www.infineon.com/dgdl/Infineon-BSS214NW-DS-v02_02-en.pdf?fileId=db3a30431b3e89eb011b695aebc01bde,,,,,,BSS214NWH6327XTSA1CT-ND,,,,,,,
55,1,R201,51.1k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT51K1TR-ND,,,,1%,,1/10W,603
56,1,R202,1.15k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,RMCF0603FT1K15CT-ND,,,,1%,,1/10W,603
57,2,"R203, R209",5.11k,Custom_Library:R_Custom,Resistors_SMD:R_0603,,,,,,,CR0603-FX-5111ELFCT-ND,,,,1%,,1/10W,603
